Gender,Age,pop,pct,sector
F,15-19,207245,53.7,edu
F,20-24,57273,14.8,edu
F,25-29,31471,8.16,edu
F,30-34,25686,6.66,edu
F,35-39,22408,5.81,edu
F,40-44,17974,4.66,edu
F,45-49,12733,3.3,edu
F,50-54,7138,1.85,edu
F,55-59,2812,0.73,edu
F,60-64,675,0.18,edu
F,65-69,155,0.04,edu
M,15-19,161857,56.2,edu
M,20-24,51028,17.7,edu
M,25-29,25742,8.93,edu
M,30-34,17685,6.14,edu
M,35-39,12625,4.38,edu
M,40-44,8520,2.96,edu
M,45-49,5716,1.98,edu
M,50-54,3023,1.05,edu
M,55-59,1434,0.5,edu
M,60-64,422,0.15,edu
M,65-69,129,0.04,edu
F,15-19,100832,16.7,vet
F,20-24,160269,26.6,vet
F,25-29,108214,17.9,vet
F,30-34,67126,11.1,vet
F,35-39,46560,7.72,vet
F,40-44,40360,6.69,vet
F,45-49,32575,5.4,vet
F,50-54,22567,3.74,vet
F,55-59,13712,2.27,vet
F,60-64,5474,0.91,vet
F,65-69,1472,0.24,vet
F,70-74,398,0.07,vet
F,75-79,128,0.02,vet
F,85+,93,0.02,vet
M,15-19,67040,16.2,vet
M,20-24,114433,27.7,vet
M,25-29,85206,20.6,vet
M,30-34,55179,13.4,vet
M,35-39,31548,7.63,vet
M,40-44,22066,5.34,vet
M,45-49,15703,3.8,vet
M,50-54,10203,2.47,vet
M,55-59,6279,1.52,vet
M,60-64,3035,0.73,vet
M,65-69,1009,0.24,vet
M,70-74,309,0.07,vet
M,75-79,90,0.02,vet
M,85+,69,0.02,vet
