from,to,value,colors
university,university vet,0.01,#FF5733
university,TAFE,0.13,#D53E4F
university,Community provider,0.11,#a6cee3
university,Enterprise provider,0.03,#b2df8a
university,Private provider,0.52,#fb9a99
university,School,0.001,#fdbf6f
university,Other,0.19, #ffff99
university vet,F,0.55,#cab2d6
university vet,M,0.45, #1f78b4
TAFE,F1,0.57, #33a02c
TAFE,M1,0.43,#F46D43
Community provider,F2,0.63,#FDAE61
Community provider,M2,0.37,#FEE08B
Enterprise provider,F3,0.5,#FFFFBF
Enterprise provider,M3,0.5,#E6F598
Private provider,F4,0.55,#ABDDA4
Private provider,M4,0.45,#66C2A5
School,F5,0.62,#3288BD
School,M5,0.38,#5E4FA2
Other,F6,0.58,#969696
Other,M6,0.42,#d799ae
